Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
173389,680747675,27.7795,0.36946,2.44174,-1,58.18,1.14741,-0.810306,1,86.4501
173389,680818239,34.9772,-0.814173,1.54987,-1,44.5779,0.0580482,-1.80487,1,86.1952
173389,680847437,64.9986,-1.29754,1.44387,-1,62.9312,-1.92644,-0.0824562,1,97.4119
173389,681213047,57.6302,0.396901,2.1282,1,34.0397,-0.527791,-0.962395,-1,98.1943
173389,681094160,74.5301,-0.134477,-2.24767,-1,12.6225,2.1696,-2.9691,1,90.0157
173389,680829516,43.1882,0.019506,-3.07127,-1,20.8186,0.54533,-0.248684,1,61.3199
173389,680819655,41.5001,0.981302,-2.6118,1,54.3714,0.400428,0.555402,-1,99.0313
173389,681191933,72.7843,-1.03547,-2.81293,-1,16.135,-1.21516,0.438786,1,68.7116
173389,680920153,33.3698,1.50088,-3.01497,1,44.3407,1.23078,0.354123,-1,77.1422
173389,681783521,26.7106,-0.00664347,2.65598,1,27.3142,2.13257,-0.483852,-1,87.984
173389,680621296,53.6044,-1.18659,1.26355,-1,49.7293,-0.369175,-1.72788,1,111.738
173389,680720873,36.1653,-1.25376,1.70619,-1,4.6602,2.28824,-1.33764,1,78.4916
173389,680763443,20.9544,1.22322,-0.512837,1,40.893,2.47035,1.97733,-1,67.7593
173389,681128272,57.8651,0.709118,0.217166,1,51.0392,0.0296471,1.9758,-1,91.7963
173389,681107638,45.954,-0.972098,-2.35659,1,87.1042,-1.86452,-1.0773,-1,95.4459
173389,680892009,36.9653,-2.22268,-0.375288,1,62.4878,-2.07541,2.47825,-1,95.3906
173389,681489237,34.9923,0.572829,0.879495,1,26.6547,-0.757299,-2.17718,-1,75.0494
173389,681784516,17.9056,-0.0469828,-2.27537,1,56.4507,0.996756,1.04633,-1,72.2166
173389,680931492,43.0053,-0.992411,1.5534,-1,44.5697,-1.12426,-1.51652,1,87.6954
173389,681036845,74.6904,-0.131213,1.56138,1,65.1596,0.153606,-0.270108,-1,112.427
173389,681664144,32.4472,-1.57128,2.12483,1,38.6206,-1.39044,-1.1087,-1,71.0143
173389,682054462,19.5992,0.558038,1.55962,1,17.682,-2.02463,-1.75293,-1,72.7663
173389,681821926,14.8093,-1.20543,2.6876,-1,41.2546,1.02884,-0.764037,1,83.2775
173389,682921558,42.213,-0.018743,1.3559,1,39.1633,1.06881,-0.900287,-1,86.9201
173389,681868791,24.8881,-0.350682,1.18794,-1,25.604,-1.80995,-2.15817,1,64.3266
